1,"In 5 key battlegrounds, most GOP state legislative nominees are election deniers, report finds"
2,'Our horses are ready': Native Americans and white farmers form an unlikely alliance to oppose a pipeline in the Dakotas
3,"In yet another ominous climate change warning, greenhouse gases reach highest levels ever"
4,Here's what happens to Twitter's stock now that it's a private company
0,At least 151 dead following crowd surge in Seoul during Halloween festivities
1,Pelosi says husband improving after violent attack at their California home
2,'Our horses are ready': Native Americans and white farmers form an unlikely alliance to oppose a pipeline in the Dakotas
3,"In yet another ominous climate change warning, greenhouse gases reach highest levels ever"
4,Here's what happens to Twitter's stock now that it's a private company
0,At least 151 dead following crowd surge in Seoul during Halloween festivities
1,Pelosi says husband improving after violent attack at their California home
2,"In 5 key battlegrounds, most GOP state legislative nominees are election deniers, report finds"
3,World on track for a future marked by climate disasters with countries 'nowhere near' emissions goals
4,Elon Musk says he was not involved in Twitter lifting restriction on Ye's account following antisemitic post
0,At least 153 dead following crowd surge in Seoul during Halloween festivities
1,Pelosi says husband improving after violent attack at their California home
2,Why paganism and witchcraft are making a comeback
3,Bolsonaro or Lula? U.S. Brazilians cast ballots in their home country's high-stakes runoff election 
4,Elon Musk says he was not involved in Twitter lifting restriction on Ye's account following antisemitic post
5,A 7-year-old's death at a Kentucky youth facility exposes years of alleged abuses
0,South Korea in mourning after Halloween crowd crush kills at least 153
1,Pelosi says husband improving after violent attack at their California home
2,Why paganism and witchcraft are making a comeback
3,"Physical restraints, emotional abuse and ‘waterboarding’ children: A 7-year-old's death exposes allegations at youth facility"
0,"Physical restraints, emotional abuse and 'waterboarding' children: A 7-year-old's death exposes allegations at youth facility"
1,"South Korea in mourning after Halloween  crowd crush kills at least 153, including 2 Americans"
2,Democrats criticize Republicans after attack on Pelosi's husband: 'Many people have stayed silent'
0,Two American college students among at least 153 dead in Seoul crowd crush
1,"Physical restraints, emotional abuse and 'waterboarding' children: A 7-year-old's death exposes allegations at youth facility"
2,"Da Silva wins Brazil presidential election, ends Bolsonaro era for now"
3,"Elon Musk, new owner of Twitter, tweets unfounded anti-LGBTQ conspiracy theory about Paul Pelosi attack"
0,Two American college students among at least 153 dead in Seoul crowd crush
1,"Elon Musk, new owner of Twitter, tweets unfounded anti-LGBTQ conspiracy theory about Paul Pelosi attack"
2,"Da Silva wins Brazil presidential election, ends Bolsonaro era for now"
3,"Physical restraints, emotional abuse and 'waterboarding' children: A 7-year-old's death exposes allegations at youth facility"
0,South Korea mourns and probes deadly Halloween crowd crush
1,"Elon Musk, new owner of Twitter, tweets unfounded anti-LGBTQ conspiracy theory about Paul Pelosi attack"
2,"Leftist Lula wins Brazil presidential election, ends far-right Bolsonaro era"
3,"Physical restraints, emotional abuse and 'waterboarding' children: A 7-year-old's death exposes allegations at youth facility"
